REGULATOR	REGULATED	EFFECT
EutR	eutR	activator
FNR	STM0761	repressor
FNR	STM0762	repressor
FNR	aceF	activator
FNR	ackA	activator
FNR	aer	activator
FNR	ansB	regulator
FNR	asr	regulator
FNR	asr	repressor
FNR	cheV	regulator
FNR	cydAB	repressor
FNR	cyoABCDE	repressor
FNR	dmsA	activator
FNR	dmsA	regulator
FNR	eutR	activator
FNR	feoB	activator
FNR	fis	regulator
FNR	flhDC	regulator
FNR	fliA	activator
FNR	fliZ	activator
FNR	ftnB	activator
FNR	ftnB	regulator
FNR	ftnB	repressor
FNR	fumB	regulator
FNR	fumB	repressor
FNR	hmp	repressor
FNR	hmpA	regulator
FNR	hmpA	repressor
FNR	hrpA	activator
FNR	mcpAC	regulator
FNR	ndh	repressor
FNR	srfABC	regulator
FNR	ycgR	activator
FNR	ynaF	activator
FNR	yneB	regulator
FadD	hilA	activator
FadD	hilA	regulator
FadR	fadF	activator
FadR	fadF	repressor
FadR	hilA	repressor
FimW	fimY	repressor
FimW	sulA	repressor
FimY	fimA	activator
FimY	fimW	activator
FimY	fimY	activator
FimY	fimY	repressor
FimY	fimZ	activator
FimY	hilA	repressor
FimY	hilE	activator
FimZ	fimA	activator
FimZ	fimA	regulator
FimZ	fimA	repressor
FimZ	fimAICDHF	activator
FimZ	fimY	activator
FimZ	fimZ	activator
FimZ	fimZ	regulator
FimZ	flhDC	regulator
FimZ	flhDC	repressor
FimZ	hilA	repressor
FimZ	hilE	activator
FimZ	sulA	repressor
Fis	STM2911	regulator
Fis	STM2912	regulator
Fis	aldB	regulator
Fis	fis	regulator
Fis	fis	repressor
Fis	flhDC	activator
Fis	flhDC	regulator
Fis	fljB	regulator
Fis	fljB	repressor
Fis	gin	regulator
Fis	gyrB	regulator
Fis	gyrB	repressor
Fis	hilC	activator
Fis	hilC	regulator
Fis	hilD	activator
Fis	hilD	regulator
Fis	hin	regulator
Fis	invC	regulator
Fis	invE	regulator
Fis	ompR	activator
Fis	ompR	regulator
Fis	pocR	activator
Fis	pocR	regulator
Fis	rpoS	regulator
Fis	rpoS	repressor
Fis	spaO	regulator
Fis	ssaG	regulator
FlhD	ecnR	regulator
FlhD	flhC	repressor
FlhD	flhDC	regulator
FlhD	flhDC	repressor
FlhD	fliA	activator
FlhD	fliA	regulator
FlhD	rflM	activator
FlhD	srfA	regulator
FlhDC	STM3611	regulator
FlhDC	flhDC	repressor
FlhDC	fliA	activator
FlhDC	fliZ	activator
FlhDC	rflM	activator
FlhDC	srfABC	regulator
FliA	STM3611	regulator
FliA	flhDC	activator
FliZ	fimA	regulator
FliZ	fimA	repressor
FliZ	fliA	activator
FliZ	fliA	regulator
FliZ	hilA	activator
FliZ	hilA	regulator
FliZ	hilC	regulator
FliZ	hilD	activator
FliZ	hilD	regulator
FliZ	ydiV	regulator
FliZ	ydiV	repressor
Fnr	ftnB	regulator
Fur	STM1130	regulator
Fur	bfr	activator
Fur	cydAB	repressor
Fur	cyoABCDE	repressor
Fur	dmsABC	activator
Fur	eutSPQTDMEJGHABCLK	activator
Fur	feoB	repressor
Fur	flhDC	activator
Fur	ftnA	activator
Fur	ftnA	regulator
Fur	fur	activator
Fur	hilA	activator
Fur	hilA	regulator
Fur	hmp	regulator
Fur	hmp	repressor
Fur	hmpA	regulator
Fur	hmpA	repressor
Fur	hns	activator
Fur	hns	regulator
Fur	hns	repressor
Fur	iroA	regulator
Fur	iroBCDE	repressor
Fur	mntH	activator
Fur	mntH	regulator
Fur	mntH	repressor
Fur	nrdDG	repressor
Fur	nrdHIEF	activator
Fur	nrdHIEF	regulator
Fur	nrdHIEF	repressor
Fur	prgH	activator
Fur	prgK	activator
Fur	ryhB	repressor
Fur	secY	regulator
Fur	sicA	activator
Fur	sipADCB	activator
Fur	sitABCD	activator
Fur	sitABCD	regulator
Fur	sitABCD	repressor
Fur	sodA	regulator
Fur	sodA	repressor
Fur	sodB	regulator
Fur	ydiE	regulator
Fur	ydiE	repressor
HNS	cydAB	regulator
HNS	cydAB	repressor
HNS	dsbA	regulator
HNS	dsbA	repressor
HNS	finP	repressor
HNS	flhD	activator
HNS	flhDC	activator
HNS	flhDC	regulator
HNS	ftnB	repressor
HNS	fur	activator
HNS	hilA	regulator
HNS	hilA	repressor
HNS	hilC	repressor
HNS	hilD	regulator
HNS	hilD	repressor
HNS	hns	regulator
HNS	igaA	regulator
HNS	igaA	repressor
HNS	map	regulator
HNS	misL	regulator
HNS	misL	repressor
HNS	ompS1	regulator
HNS	ompS1	repressor
HNS	proV	regulator
HNS	proV	repressor
HNS	psiF	regulator
HNS	rcsA	regulator
HNS	ssrAB	regulator
HNS	ssrAB	repressor
HNS	stpA	regulator
HNS	traJ	regulator
HNS	traJ	repressor
HNS	virK	repressor
HU	hilD	regulator
Hha	hilA	regulator
Hha	hilA	repressor
Hha	hilC	regulator
Hha	hilC	repressor
Hha	hilD	repressor
Hha	invF	repressor
Hha	sipC	repressor
Hha	ssrA	repressor
Hha	ssrB	repressor
HilA	atpF	regulator
HilA	glpT	regulator
HilA	hilA	regulator
HilA	hilA	repressor
HilA	invA	activator
HilA	invC	activator
HilA	invF	activator
HilA	invF	regulator
HilA	isrJ	activator
HilA	lpp	regulator
HilA	orgB	regulator
HilA	orgBC	activator
HilA	prgH	activator
HilA	prgH	regulator
HilA	sicA	activator
HilA	sicA	regulator
HilA	sicA	repressor
HilA	siiA	activator
HilA	siiA	regulator
HilA	siiB	regulator
HilA	siiE	activator
HilA	siiE	regulator
HilA	sipA	activator
HilA	sipA	regulator
HilA	sipC	activator
HilA	sipC	regulator
HilA	sipC	repressor
HilA	sopA	regulator
HilA	sopB	activator
HilA	sopB	regulator
HilA	sopE	regulator
HilA	sprB	activator
HilA	ssaH	regulator
HilA	ssaH	repressor
HilA	sseL	regulator
HilA	ygiM	regulator
HilC	dsbA	activator
HilC	dsbA	regulator
HilC	hilA	activator
HilC	hilA	regulator
HilC	hilC	activator
HilC	hilC	regulator
HilC	hilC	repressor
HilC	hilD	activator
HilC	hilD	regulator
HilC	invA	activator
HilC	invF	activator
HilC	invF	regulator
HilC	siiA	regulator
HilC	siiE	activator
HilC	slrP	activator
HilC	slrP	regulator
HilC	ytfK	activator
HilD	dapZ	activator
HilD	dapZ	regulator
HilD	dsbA	activator
HilD	dsbA	regulator
HilD	flhC	activator
HilD	flhDC	activator
HilD	flhDC	regulator
HilD	fliL	activator
HilD	fljB	activator
HilD	hilA	activator
HilD	hilA	regulator
HilD	hilA	repressor
HilD	hilD	activator
HilD	hilD	regulator
HilD	hilD	repressor
HilD	invF	activator
HilD	invF	regulator
HilD	lpxR	activator
HilD	mcpC	regulator
HilD	rflM	repressor
HilD	siiA	activator
HilD	siiA	regulator
HilD	siiE	activator
HilD	slrP	activator
HilD	slrP	regulator
HilD	sopB	repressor
HilD	sprB	regulator
HilD	ssaH	regulator
HilD	ssrA	activator
HilD	ssrAB	activator
HilD	ssrAB	regulator
HilD	ssrAB	repressor
HilD	ssrB	activator
HilD	ytfK	activator
HilE	hilC	regulator
HilE	hilD	repressor
HilE	invF	repressor
HilE	siiE	repressor
IHF	csgD	activator
IHF	csrB	activator
IHF	csrB	regulator
IHF	dps	activator
IHF	fis	activator
IHF	fis	regulator
IHF	mgtCB	activator
IHF	pipB	activator
IHF	spvABC	activator
IHF	spvB	repressor
IHF	spvR	repressor
IgaA	spvA	activator
InvF	prgH	regulator
InvF	sicA	activator
InvF	sicA	regulator
InvF	sipBCDA	activator
InvF	sopA	activator
InvF	sopA	regulator
InvF	sopB	activator
InvF	sopB	regulator
InvF	sopE	activator
InvF	sopE	regulator
InvF	sopE2	regulator
InvF	sopE2	repressor
LexA	nanH	regulator
Lrp	fimA	activator
Lrp	fimA	regulator
Lrp	fimA	repressor
Lrp	hilA	repressor
Lrp	invF	repressor
Lrp	spvABCD	repressor
Lrp	ssrA	repressor
Lrp	traJ	activator
LsrR	flhDC	regulator
LsrR	invF	regulator
LsrR	invF	repressor
LsrR	sicA	repressor
LsrR	sopB	regulator
LsrR	sopE	repressor
LuxS	invF	regulator
MalT	malX	activator
MalT	malX	regulator
MarA	marRAB	activator
MarA	ompW	activator
MarA	ompW	regulator
MarA	rob	repressor
MarT	misL	activator
MarT	misL	regulator
MetJ	metA	repressor
MetJ	metE	repressor
MetJ	metF	regulator
MetJ	metF	repressor
MetJ	metH	regulator
MetJ	metH	repressor
MetJ	metR	repressor
MetR	glyA	activator
MetR	glyA	regulator
MetR	hmp	activator
MetR	metA	activator
MetR	metA	regulator
MetR	metA	repressor
MetR	metE	activator
MetR	metE	regulator
MetR	metE	repressor
MetR	metF	activator
MetR	metF	regulator
MetR	metH	activator
MetR	metH	regulator
MetR	metH	repressor
MetR	metR	activator
MetR	metR	regulator
MetR	metR	repressor
Mlc	hilA	activator
Mlc	hilA	regulator
Mlc	hilC	regulator
Mlc	hilE	activator
Mlc	hilE	regulator
Mlc	hilE	repressor
MntR	mntH	activator
MntR	mntH	regulator
MntR	mntH	repressor
MntR	mntR	regulator
MntR	sitABCD	activator
MntR	sitABCD	regulator
MntR	sitABCD	repressor
MviA	flgK	regulator
MviA	rcsB	activator
NadR	nadA	regulator
NadR	nadA	repressor
NadR	nadB	repressor
NadR	pncB	regulator
NadR	pncB	repressor
NadR	pnuC	regulator
NrdR	nrdAB	activator
NrdR	nrdAB	repressor
NrdR	nrdDG	repressor
NrdR	nrdHIEF	activator
NrdR	nrdHIEF	regulator
NrdR	nrdHIEF	repressor
NsrR	hcp	repressor
NsrR	hcr	repressor
NsrR	hmp	activator
NsrR	hmp	regulator
NsrR	hmp	repressor
NsrR	hmpA	repressor
NsrR	tehB	regulator
NsrR	ygbA	repressor
NsrR	ytfE	repressor
NtrC	glnH	activator
NtrC	glnKamtB	activator
OmpR	bamA	regulator
OmpR	csgD	regulator
OmpR	cstA2	repressor
OmpR	flhD	repressor
OmpR	flhDC	regulator
OmpR	hilA	activator
OmpR	hilA	regulator
OmpR	hilA	repressor
OmpR	hilC	activator
OmpR	hilC	regulator
OmpR	hilD	activator
OmpR	hilD	regulator
OmpR	hilD	repressor
OmpR	map	regulator
OmpR	mgtC	activator
OmpR	mgtC	regulator
OmpR	micF	regulator
OmpR	narK	repressor
OmpR	nrfA	repressor
OmpR	ompF	activator
OmpR	ompF	regulator
OmpR	ompF	repressor
OmpR	ompR	activator
OmpR	ompR	regulator
OmpR	ompS1	activator
OmpR	ompS1	regulator
OmpR	ompS2	activator
OmpR	phoP	activator
OmpR	phoP	regulator
OmpR	prgH	activator
OmpR	prgHIJK	activator
OmpR	sdhCDA	repressor
OmpR	sprB	activator
OmpR	ssaH	repressor
OmpR	ssrA	activator
OmpR	ssrA	regulator
OmpR	ssrA	repressor
OmpR	ssrAB	activator
OmpR	ssrAB	regulator
OmpR	ssrB	activator
OmpR	ssrB	regulator
OmpR	tppB	activator
OmpR	tppB	regulator
OmpR	tviA	regulator
OmpR	yehUT	activator
OxyR	agn43	regulator
OxyR	agn43	repressor
OxyR	ahpC	regulator
OxyR	dps	activator
OxyR	dps	regulator
OxyR	mntH	activator
OxyR	mntH	regulator
OxyR	oxyR	repressor
OxyR	oxyS	activator
OxyR	oxyS	regulator
OxyR	sitABCD	regulator
PhoB	hilA	activator
PhoB	hilA	regulator
PhoB	hilA	repressor
PhoP	amgR	activator
PhoP	amgR	regulator
PhoP	corA	regulator
PhoP	envE	regulator
PhoP	fliC	repressor
PhoP	glpK	repressor
PhoP	gmm	regulator
PhoP	gmm	repressor
PhoP	hemL	regulator
PhoP	hilA	regulator
PhoP	hilA	repressor
PhoP	hilE	activator
PhoP	hlyE	regulator
PhoP	igaA	regulator
PhoP	iraP	activator
PhoP	iraP	regulator
PhoP	katE	activator
PhoP	lpxO	activator
PhoP	lpxO	regulator
PhoP	lpxO	repressor
PhoP	mgrB	activator
PhoP	mgrB	regulator
PhoP	mgtA	activator
PhoP	mgtA	regulator
PhoP	mgtA	repressor
PhoP	mgtB	activator
PhoP	mgtB	regulator
PhoP	mgtC	activator
PhoP	mgtC	regulator
PhoP	mgtCB	activator
PhoP	mgtCB	regulator
PhoP	mgtCBR	regulator
PhoP	ompD	activator
PhoP	orgB	activator
PhoP	orgB	regulator
PhoP	orgBC	regulator
PhoP	orgC	activator
PhoP	pagA	activator
PhoP	pagA	regulator
PhoP	pagA-pagP	activator
PhoP	pagB	activator
PhoP	pagB	regulator
PhoP	pagC	activator
PhoP	pagC	regulator
PhoP	pagD	activator
PhoP	pagD	regulator
PhoP	pagJ	regulator
PhoP	pagK	activator
PhoP	pagK	regulator
PhoP	pagM	activator
PhoP	pagN	activator
PhoP	pagO	activator
PhoP	pagP	activator
PhoP	pagP	regulator
PhoP	pagP	repressor
PhoP	pbgE	activator
PhoP	pbgE	regulator
PhoP	pbgM	activator
PhoP	pbgM	regulator
PhoP	pcgD	activator
PhoP	pcgD	regulator
PhoP	pcgL	activator
PhoP	pcgP	activator
PhoP	pcgP	regulator
PhoP	phoN	activator
PhoP	phoN	regulator
PhoP	phoP	activator
PhoP	phoP	regulator
PhoP	phoP	repressor
PhoP	phoPQ	activator
PhoP	phoPQ	regulator
PhoP	pipD	activator
PhoP	pipD	regulator
PhoP	pmrA	activator
PhoP	pmrA	regulator
PhoP	pmrA-pmrB	regulator
PhoP	pmrAB	regulator
PhoP	pmrB	regulator
PhoP	pmrC	activator
PhoP	pmrC	regulator
PhoP	pmrD	activator
PhoP	pmrD	regulator
PhoP	prgB	activator
PhoP	prgB	regulator
PhoP	prgC	repressor
PhoP	prgH	activator
PhoP	prgH	regulator
PhoP	prgH	repressor
PhoP	prgHIJK	repressor
PhoP	rstA	activator
PhoP	rstA	regulator
PhoP	siiA	activator
PhoP	siiE	repressor
PhoP	sodCI	activator
PhoP	sodCI	regulator
PhoP	spvA	regulator
PhoP	srfABC	repressor
PhoP	srfJ	activator
PhoP	srfJ	regulator
PhoP	ssaV	activator
PhoP	sseL	activator
PhoP	ssrA	regulator
PhoP	ssrAB	regulator
PhoP	ssrB	activator
PhoP	ssrB	regulator
PhoP	ugtL	activator
PhoP	ugtL	regulator
PhoP	ugtL	repressor
PhoP	ushA	regulator
PhoP	ushA	repressor
PhoP	virK	activator
PhoP	virK	regulator
PhoP	ybjX	activator
PhoP	ybjX	regulator
PhoP	ydeI	activator
PhoP	ydeI	regulator
PhoP	yrbL	activator
PhoR	hilA	regulator
PhoR	hilA	repressor
PhoR	hilE	activator
PhoR	hilE	regulator
Phop	pagD	regulator
PmrA	gmm	activator
PmrA	pbgP	regulator
PmrA	pmrAB	activator
PmrA	pmrCAB	regulator
PmrA	pmrD	activator
PmrA	pmrD	regulator
PmrA	pmrD	repressor
PmrA	pmrHFIJKLM	regulator
PmrA	rcsB	regulator
PmrA	rcsB	repressor
PmrA	ugd	activator
PmrA	ugd	regulator
PmrA	wzz	repressor
PmrA	ydeI	activator
PmrA	ydeI	regulator
PmrA	yrbL	repressor
PocR	pduF	activator
PocR	pduF	regulator
PreA	STM3175	regulator
PreA	mdaB	regulator
PrpR	prpBCDE	activator
PrpR	prpBCDE	repressor
PspF	cas1	regulator
PutA	putA	regulator
PutA	putA	repressor
PutA	putP	regulator
PutA	putP	repressor
RamA	hmp	activator
RamA	invF	repressor
RamA	sprA	repressor
RamA	ssrA	repressor
RcsA	flhDC	repressor
RcsA	ugd	activator
RcsAB	rcsA	activator
RcsAB	ugd	activator
RcsB	STM3155	repressor
RcsB	bapA	regulator
RcsB	flhC	repressor
RcsB	flhDC	activator
RcsB	flhDC	regulator
RcsB	flhDC	repressor
RcsB	fliM	repressor
RcsB	glgX	activator
RcsB	gmm	activator
RcsB	hilA	repressor
RcsB	mcpC	repressor
RcsB	mgtA	regulator
RcsB	mgtA	repressor
RcsB	pbgP	regulator
RcsB	phoN	repressor
RcsB	phoP	regulator
RcsB	phoP	repressor
RcsB	pmrA	activator
RcsB	pmrA	regulator
RcsB	rcsA	activator
RcsB	rcsA	repressor
RcsB	siiE	regulator
RcsB	spvA	activator
RcsB	spvA	regulator
RcsB	spvAB	activator
RcsB	srfA	regulator
RcsB	srfABC	regulator
RcsB	srfABC	repressor
RcsB	srfB	regulator
RcsB	srfJ	regulator
RcsB	srfJ	repressor
RcsB	tviA	activator
RcsB	ugd	activator
RcsB	ugd	regulator
RcsB	wzz	activator
RcsB	yciGFE	activator
RcsB	yciGFE	regulator
RcsB	ydeI	activator
RcsB	ydeI	regulator
RflM	flhDC	repressor
Rob	acrAB	activator
Rob	mgtA	activator
Rob	mgtA	regulator
Rob	mgtA	repressor
Rob	ompW	regulator
RpoS	Crl	repressor
RpoS	cacA	activator
RpoS	dps	activator
RpoS	katE	activator
RpoS	mgtA	regulator
RpoS	ogt	regulator
RpoS	ydeI	activator
RstA	bapA	repressor
RstA	dsbA	activator
RstA	feoB	activator
RstA	narZ	repressor
RstA	spvA	repressor
RtsA	dsbA	activator
RtsA	dsbA	regulator
RtsA	flhDC	repressor
RtsA	hilA	activator
RtsA	hilA	regulator
RtsA	hilC	activator
RtsA	hilD	activator
RtsA	invF	activator
RtsA	invF	regulator
RtsA	siiA	regulator
RtsA	siiE	activator
RtsA	slrP	activator
RtsA	slrP	regulator
RtsB	flhDC	regulator
RtsB	flhDC	repressor
STM4463	STM4467	activator
SdiA	rck	activator
SdiA	rck	regulator
SdiA	sdiA	activator
SdiA	sdiA	regulator
SdiA	srgE	activator
SdiA	srgE	regulator
Sigma54	glnH	activator
Sigma54	prpBCDE	activator
SirA	csrB	activator
SirA	csrB	regulator
SirA	flhD	repressor
SirA	flhDC	repressor
SirA	hilC	activator
SirA	hilC	regulator
SirA	hilC	repressor
SirA	hilD	activator
SirA	hilD	regulator
SirA	invF	activator
SirA	siiE	regulator
SirA	sirC	regulator
SirA	sopB	regulator
SirA	sspC	activator
SirA	ssrAB	activator
SirA	ssrAB	regulator
SirB	sirC	regulator
SlyA	STM1731	regulator
SlyA	STM1795	regulator
SlyA	STM4242	regulator
SlyA	gldA	regulator
SlyA	hlyE	regulator
SlyA	mopA	regulator
SlyA	pagC	regulator
SlyA	potD	regulator
SlyA	sodCII	activator
SlyA	ssrA	activator
SlyA	tpx	regulator
SlyA	ucpA	regulator
SlyA	ugtL	activator
SlyA	ugtL	regulator
SlyA	ybdQ	regulator
SlyA	yciF	regulator
SlyA	ygaU	regulator
SlyA	yhcH	regulator
SlyA	yohF	regulator
SoxR	soxS	activator
SoxS	acrAB	activator
SoxS	acrAB	regulator
SoxS	micF	activator
SoxS	nfo	activator
SoxS	nfsA	activator
SoxS	nifJ	regulator
SoxS	ompW	activator
SoxS	ompW	regulator
SoxS	ompW	repressor
SoxS	rob	repressor
SoxS	sodA	activator
SoxS	zwf	activator
SprB	hilD	regulator
SprB	hilD	repressor
SprB	siiA	activator
SprB	siiA	regulator
SprB	spvB	activator
SpvR	entC	activator
SpvR	spvA	activator
SpvR	spvA	regulator
SpvR	spvABCD	activator
SpvR	spvB	activator
SpvR	spvB	regulator
SpvR	spvC	regulator
SpvR	spvR	activator
SpvR	spvR	regulator
SsrB	STM2237	regulator
SsrB	pipB	activator
SsrB	sciF	regulator
SsrB	sciS	regulator
SsrB	sciS	repressor
SsrB	srfA	regulator
SsrB	srfABC	regulator
SsrB	srfB	regulator
SsrB	srfC	regulator
SsrB	srfJ	activator
SsrB	srfJ	regulator
SsrB	srfM	regulator
SsrB	srfN	regulator
SsrB	ssaB	regulator
SsrB	ssaG	activator
SsrB	ssaG	regulator
SsrB	ssaJ	activator
SsrB	ssaR	regulator
SsrB	ssaV	regulator
SsrB	sseA	regulator
SsrB	sseAB	activator
SsrB	sseG	activator
SsrB	sseI	regulator
SsrB	sseL	activator
SsrB	sseL	regulator
SsrB	sspH2	regulator
SsrB	ssrA	activator
SsrB	ssrAB	regulator
SsrB	ssrB	activator
StpA	ompS1	repressor
TctD	tctC	activator
TctD	tctC	regulator
TviA	flhC	repressor
TviA	flhDC	repressor
TviA	fliZ	repressor
TviA	glgC	activator
TviA	glgX	activator
TviA	hilA	repressor
TviA	hilD	repressor
TyrR	aniC	activator
TyrR	hyaB	activator
YdgT	ssrA	repressor
YdiV	ydiV	activator
Zur	zinT	regulator
Zur	znuA	regulator
